epoch,step,train_dice_epoch,train_dice_step,train_loss_epoch,train_loss_step,val_dice,val_loss
0,4,,,,,0.0,0.935505747795105
0,4,0.0,,0.9518378376960754,,,
1,9,,0.0,,0.9157091379165649,,
1,9,,,,,0.0,0.9193344116210938
1,9,0.0,,0.9250191450119019,,,
2,14,,,,,0.0,0.9090523719787598
2,14,0.0,,0.9121311902999878,,,
3,19,,0.0,,0.8951491713523865,,
3,19,,,,,0.0,0.9026898145675659
3,19,0.0,,0.9036996960639954,,,
4,24,,,,,0.0,0.8974714279174805
4,24,0.0,,0.8981741666793823,,,
5,29,,0.0,,0.8930492401123047,,
5,29,,,,,0.0,0.8931959867477417
5,29,0.0,,0.8943217992782593,,,
6,34,,,,,0.0,0.8882758021354675
6,34,0.0,,0.889980673789978,,,
7,39,,0.0,,0.890891969203949,,
7,39,,,,,0.0,0.885140597820282
7,39,0.0,,0.8864098787307739,,,
8,44,,,,,0.0,0.8814505338668823
8,44,0.0,,0.8833653330802917,,,
9,49,,0.0,,0.8900654315948486,,
9,49,,,,,0.0,0.878260612487793
9,49,0.0,,0.8800535202026367,,,
10,54,,,,,0.0,0.8772841691970825
10,54,0.0,,0.8771864175796509,,,
